[Wed, 18. May 2022 06:02:30 UTC | ID 811107146792042556] saikonomine: timings on
[Wed, 18. May 2022 14:16:15 UTC | ID 500710359590502400] Bradly: list
[Wed, 18. May 2022 14:48:03 UTC | ID 811107146792042556] saikonomine: timings paste
[Wed, 18. May 2022 14:48:15 UTC | ID 811107146792042556] saikonomine: timings off
[Wed, 18. May 2022 14:54:52 UTC | ID 811107146792042556] saikonomine: easywl add polovichok
[Wed, 18. May 2022 14:56:48 UTC | ID 811107146792042556] saikonomine: say бля, забыл ключ в плагин вставить новый
[Wed, 18. May 2022 14:56:53 UTC | ID 811107146792042556] saikonomine: say ебанарот
[Wed, 18. May 2022 14:57:37 UTC | ID 811107146792042556] saikonomine: say есть, но они не технари нихрена. один модер из дс, один даун. просто даун
[Wed, 18. May 2022 14:59:09 UTC | ID 811107146792042556] saikonomine: say на парагондоне такие админы. я лично подбирал команду админов - лучших в своем деле. среди админов есть даже те люди, которые ранее были забанены на визере, стали врагами декаки, но не моими
[Wed, 18. May 2022 15:00:52 UTC | ID 811107146792042556] saikonomine: say тот же дарк. Кто сможет написать лучшие правила, которые будут обоюдо полезные и не дизбалансные, как не человек, который больше всех находил в них обходы и крупные дыры
[Wed, 18. May 2022 15:01:04 UTC | ID 811107146792042556] saikonomine: say датапак на ачивки в разработке
[Wed, 18. May 2022 16:14:23 UTC | ID 487672218906525696] DarkLight: say Вова добудь 10 стаков булыги и 15 стаков незерака уже, заебал всех
[Wed, 18. May 2022 16:14:33 UTC | ID 487672218906525696] DarkLight: xD
[Wed, 18. May 2022 17:07:36 UTC | ID 710944566668296264] Certain: easywl add Beesc9it
